date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:42	7095/7095	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:09:43%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/index2904.html	(from )
12:09:43	173/173	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2011:09:44%20GMT	https://www.tutorialesprogramacionya.com/robots.txt		(from )
12:09:44	109518/109518	---M--	200	added ('OK')	text/css	etag:%221abce-57e3f3a598567%22	https://www.tutorialesprogramacionya.com/css/bootstrap.min.css	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/css/bootstrap.min.css	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
12:09:44	1354/1354	---M--	200	added ('OK')	text/css	etag:%2254a-5c2619da8b807%22	https://www.tutorialesprogramacionya.com/bootstrap5ya/estilos.css	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/estilos.css	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
12:09:44	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Mis%20lugares%20Web/BOOTSTRAP/www.google-analytics.com/analytics.js	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
12:09:51	5542/5542	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:09:45%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=1&codigo=1&inicio=0	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto0ec9.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
12:09:51	178143/178143	---M--	200	added ('OK')	text/javascript	etag:9075095369080953656	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Mis%20lugares%20Web/BOOTSTRAP/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
12:09:52	6893/6893	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:09:52%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=2&codigo=2&inicio=0	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto3ad5.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
12:09:52	13178/13178	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:09:52%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=3&codigo=3&inicio=0	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto2ac2.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
12:09:52	7353/7353	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202023%2011:09:53%20GMT	https://www.tutorialesprogramacionya.com/bootstrap5ya/detalleconcepto.php?punto=4&codigo=4&inicio=0	C:/Mis%20lugares%20Web/BOOTSTRAP/www.tutorialesprogramacionya.com/bootstrap5ya/detalleconceptobb8b.html	(from https://www.tutorialesprogramacionya.com/bootstrap5ya/index.php?inicio=0)
